	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells	Other
0	0.1532	0.232	0.2236	0.171	0.1658	0.0544
1	0.0516	0.4592	0.3205	0.057	0.089	0.0228
2	0.1916	0.1285	0.1786	0.0799	0.2964	0.1249
3	0.1972	0.3677	0.0869	0.1708	0.1711	0.0064
4	0.1309	0.3207	0.2798	0.1338	0.0788	0.0559
5	0.1578	0.3164	0.2037	0.1047	0.1418	0.0755
6	0.0686	0.273	0.2422	0.1587	0.1081	0.1494
7	0.0832	0.475	0.0984	0.1867	0.1393	0.0175
8	0.1159	0.4327	0.0687	0.2711	0.1006	0.0112
9	0.0709	0.6197	0.0689	0.0886	0.1471	0.0048
10	0.0054	0.1871	0.0889	0.4452	0.237	0.0364
11	0.0404	0.5271	0.1005	0.1727	0.1551	0.0043
12	0.0452	0.4257	0.191	0.1558	0.0956	0.0867
13	0.0458	0.4027	0.1999	0.1467	0.1887	0.0162
14	0.0622	0.5282	0.1955	0.106	0.0424	0.0658
15	0.0354	0.4818	0.1467	0.2034	0.128	0.0049
16	0.0535	0.429	0.3611	0.0409	0.0743	0.0414
17	0.0534	0.4614	0.3313	0.0397	0.0679	0.0463
18	0.0256	0.4998	0.2482	0.0976	0.066	0.0629
19	0.0614	0.5652	0.1289	0.1479	0.0784	0.0181
